word,count
kort_o,804
pere_i,804
preleg_i,804
kun_tekst_o,803
mir_ind_a,803
antaŭ_vid_i,801
etern_a,801
nord_o,801
mal_facil_aĵ_o,800
art_ist_o,799
ge_jun_ul_o,798
teknik_a,798
anstataŭ_i,797
verk_it_a,797
ajn_a,796
dispon_o,796
financ_o,796
serioz_e,796
kilo_metr_o,795
tomb_o,795
azi_a,794
last_a_temp_e,794
kategori_o,793
komput_il_o,793
teori_o,793
dialog_o,792
lig_i,790
prav_i,789
al_ven_o,788
ju,788
laŭt_e,788
konstru_ad_o,787
pek_o,786
plend_i,786
pont_o,786
konstituci_o,785
talent_o,785
vien_o,785
deklar_o,783
unu_a_foj_e,783
publik_ig_it_a,782
vid_ebl_a,782
ekzist_ant_a,781
kaŝ_it_a,781
kolektiv_a,780
sud_o,780
bon_o,779
deput_it_o,779
dezert_o,779
